case_id,repository_local_path,target_files
case_001,materialized/case_001,kernel/bpf/task_iter.c
case_002,materialized/case_002,drivers/power/supply/rt9455_charger.c
case_003,materialized/case_003,net/ipv4/inet_fragment.c;net/ipv4/ip_fragment.c
case_004,materialized/case_004,net/ipv6/icmp.c
case_005,materialized/case_005,drivers/tee/optee/supp.c
case_006,materialized/case_006,include/net/netfilter/nf_queue.h;net/netfilter/nf_queue.c;net/netfilter/nfnetlink_queue.c
case_007,materialized/case_007,sound/core/timer.c
case_008,materialized/case_008,drivers/net/usb/rtl8150.c
case_009,materialized/case_009,net/netfilter/nft_tunnel.c
case_010,materialized/case_010,drivers/net/ethernet/mediatek/mtk_eth_soc.c
case_011,materialized/case_011,drivers/net/wireless/mediatek/mt76/mt7996/init.c
case_012,materialized/case_012,net/nfc/hci/llc_shdlc.c
case_013,materialized/case_013,drivers/block/zram/zram_drv.c
case_014,materialized/case_014,include/net/act_api.h;net/sched/act_api.c
case_015,materialized/case_015,drivers/net/wireless/mediatek/mt76/mt7915/init.c
case_016,materialized/case_016,net/qrtr/af_qrtr.c
case_017,materialized/case_017,net/core/gro.c
case_018,materialized/case_018,drivers/of/unittest.c
case_019,materialized/case_019,fs/smb/server/smb2pdu.c
case_020,materialized/case_020,arch/powerpc/mm/pgtable-frag.c
case_021,materialized/case_021,net/xfrm/xfrm_policy.c
case_022,materialized/case_022,drivers/net/wireless/realtek/rtlwifi/pci.c
case_023,materialized/case_023,drivers/mtd/devices/docg3.c
case_024,materialized/case_024,drivers/spi/spi-topcliff-pch.c
case_025,materialized/case_025,net/xfrm/xfrm_iptfs.c
case_026,materialized/case_026,drivers/net/ethernet/intel/ice/ice_txrx.c
case_027,materialized/case_027,drivers/net/ethernet/airoha/airoha_eth.c
case_028,materialized/case_028,net/smc/af_smc.c
case_029,materialized/case_029,drivers/misc/fastrpc.c
case_030,materialized/case_030,net/phonet/pn_dev.c
case_031,materialized/case_031,drivers/bus/fsl-mc/fsl-mc-bus.c;drivers/vfio/fsl-mc/vfio_fsl_mc.c;include/linux/fsl/mc.h
case_032,materialized/case_032,fs/smb/server/auth.c
case_033,materialized/case_033,drivers/nvmem/core.c
case_034,materialized/case_034,kernel/fork.c
case_035,materialized/case_035,drivers/crypto/hisilicon/sec2/sec_crypto.c
case_036,materialized/case_036,drivers/platform/x86/wmi.c;include/linux/wmi.h
case_037,materialized/case_037,net/ipv4/inet_connection_sock.c
case_038,materialized/case_038,drivers/power/supply/pm8916_lbc.c
case_039,materialized/case_039,drivers/vdpa/vdpa.c;include/linux/vdpa.h
case_040,materialized/case_040,drivers/net/ethernet/freescale/enetc/ntmp.c;drivers/net/ethernet/freescale/enetc/ntmp_private.h;include/linux/fsl/ntmp.h
case_041,materialized/case_041,drivers/staging/greybus/raw.c
case_042,materialized/case_042,fs/mbcache.c
case_043,materialized/case_043,net/unix/af_unix.c
case_044,materialized/case_044,drivers/net/ethernet/ibm/emac/core.c
case_045,materialized/case_045,net/ipv6/anycast.c
case_046,materialized/case_046,drivers/mailbox/mailbox-test.c
case_047,materialized/case_047,drivers/pinctrl/pinctrl-k230.c
case_048,materialized/case_048,kernel/bpf/verifier.c
case_049,materialized/case_049,drivers/gpio/gpiolib-cdev.c
case_050,materialized/case_050,drivers/firmware/stratix10-rsu.c
case_051,materialized/case_051,drivers/media/platform/renesas/vsp1/vsp1_drv.c
case_052,materialized/case_052,net/netfilter/nfnetlink_osf.c
case_053,materialized/case_053,drivers/net/wireless/mediatek/mt76/mt7925/mac.c
case_054,materialized/case_054,drivers/spi/spi-wpcm-fiu.c
case_055,materialized/case_055,drivers/gpu/drm/sun4i/sun4i_backend.c
case_056,materialized/case_056,kernel/sched/core.c
case_057,materialized/case_057,drivers/iommu/iommu.c
case_058,materialized/case_058,drivers/gpu/drm/amd/display/amdgpu_dm/amdgpu_dm_debugfs.c
case_059,materialized/case_059,drivers/md/dm-cache-target.c
case_060,materialized/case_060,drivers/gpu/drm/amd/ras/rascore/ras_core.c
case_061,materialized/case_061,net/core/bpf_sk_storage.c
case_062,materialized/case_062,net/smc/smc_tracepoint.h
case_063,materialized/case_063,fs/iomap/buffered-io.c
case_064,materialized/case_064,drivers/net/vrf.c
case_065,materialized/case_065,drivers/iommu/intel/iommu.c
case_066,materialized/case_066,drivers/crypto/inside-secure/eip93/eip93-common.c
case_067,materialized/case_067,sound/core/pcm_native.c
case_068,materialized/case_068,drivers/iommu/amd/iommu.c
case_069,materialized/case_069,drivers/net/ethernet/intel/ice/ice_ethtool.c
case_070,materialized/case_070,kernel/locking/rtmutex.c;kernel/locking/rtmutex_api.c
case_071,materialized/case_071,drivers/gpu/drm/imagination/pvr_fw_trace.c
case_072,materialized/case_072,drivers/bluetooth/hci_ldisc.c
case_073,materialized/case_073,drivers/gpu/drm/amd/display/amdgpu_dm/amdgpu_dm_irq.c
case_074,materialized/case_074,drivers/usb/typec/mux/ps883x.c
case_075,materialized/case_075,drivers/gpu/drm/amd/ras/rascore/ras_core.c
